timestamp,dac,voltage,current,rpm,temperature,do,clean_do,family,sample_index
0.0,2.8568,30.4203,0.6461,57.1036,27.068,6.1946,6.1,wgn,0
5.0,2.8493,30.4833,0.6411,56.348,27.166,6.0859,6.104,wgn,1
10.0,2.8545,30.8151,0.6304,55.0016,27.2168,6.2744,6.0969,wgn,2
15.0,2.8527,30.6101,0.6417,57.9801,27.2914,5.9629,6.0976,wgn,3
20.0,2.8628,30.6285,0.6466,56.041,27.1318,6.0651,6.101,wgn,4
25.0,2.861,30.2606,0.6292,56.8782,27.4988,6.2506,6.1145,wgn,5
30.0,2.8568,30.6918,0.661,57.327,27.2953,6.1886,6.114,wgn,6
35.0,2.8611,30.1189,0.6204,56.867,27.39,6.0576,6.1202,wgn,7
40.0,2.8558,30.64,0.6365,56.663,27.6517,6.0704,6.1138,wgn,8
45.0,2.8424,30.4089,0.6394,56.487,27.5347,6.1857,6.1182,wgn,9
50.0,2.8645,30.8923,0.6511,57.1647,27.7747,6.1658,6.1177,wgn,10
55.0,2.8451,30.6747,0.6488,56.375,27.7269,6.3125,6.115,wgn,11
60.0,2.8604,30.5965,0.6422,55.7581,27.8538,6.1813,6.1163,wgn,12
65.0,2.8294,30.7347,0.6445,56.6987,27.9352,6.0829,6.1102,wgn,13
70.0,2.8536,30.4337,0.6386,56.136,28.0817,5.8689,6.1102,wgn,14
75.0,2.843,30.2662,0.6165,57.2515,27.9678,5.9726,6.1054,wgn,15
80.0,2.8598,30.7979,0.6409,56.7285,27.9556,6.181,6.105,wgn,16
85.0,2.8619,30.5679,0.6402,56.7681,28.064,6.2329,6.0982,wgn,17
90.0,2.8387,30.7719,0.6365,57.7697,28.2561,6.1435,6.0967,wgn,18
95.0,2.8584,30.3068,0.6473,57.1963,28.0622,6.0687,6.0969,wgn,19
100.0,2.8375,30.5186,0.6478,57.1031,28.172,6.2234,6.1066,wgn,20
105.0,2.8618,30.8753,0.6325,57.8987,28.2639,6.156,6.0888,wgn,21
110.0,2.846,30.8365,0.642,57.1476,28.1553,6.018,6.0862,wgn,22
115.0,2.8651,30.7596,0.6139,57.8016,28.3784,6.1332,6.0776,wgn,23
120.0,2.8474,30.7856,0.6528,57.1403,28.4944,5.9451,6.0677,wgn,24
125.0,2.8712,30.5426,0.643,56.0673,28.1749,6.088,6.0647,wgn,25
130.0,2.861,30.9829,0.6473,56.7345,28.2628,6.0879,6.0659,wgn,26
135.0,2.8841,30.8368,0.6643,56.6967,28.3274,5.7616,6.062,wgn,27
140.0,2.8574,30.7977,0.6295,58.3088,28.3338,6.2005,6.0554,wgn,28
145.0,2.8799,30.7749,0.6601,57.7895,28.4556,6.0757,6.0547,wgn,29
150.0,2.8753,31.3739,0.6539,57.9706,28.5325,6.1066,6.0445,wgn,30
155.0,2.8839,30.9407,0.634,57.3184,28.5861,6.2222,6.0462,wgn,31
160.0,2.8577,31.1066,0.6284,58.362,28.4352,6.0199,6.0436,wgn,32
165.0,2.8663,30.551,0.6479,58.1058,28.5005,6.0062,6.0474,wgn,33
170.0,2.8704,30.8447,0.6425,57.7232,28.5252,6.0109,6.0429,wgn,34
175.0,2.88,31.3172,0.6225,58.0221,28.4048,6.3011,6.0361,wgn,35
180.0,2.9014,31.1593,0.6673,58.7995,28.46,5.9716,6.0291,wgn,36
185.0,2.893,30.8073,0.6348,57.1985,28.3971,5.9385,6.0278,wgn,37
190.0,2.9001,31.3689,0.6441,58.0152,28.385,6.039,6.0223,wgn,38
195.0,2.9025,30.8922,0.6506,57.7566,28.6416,5.8502,6.0165,wgn,39
200.0,2.8842,30.7725,0.6417,57.6101,28.2588,5.9257,6.0197,wgn,40
205.0,2.8789,30.922,0.6729,57.2698,28.4688,5.9977,6.0128,wgn,41
210.0,2.8932,31.3695,0.6403,58.2724,28.3144,6.0745,5.9985,wgn,42
215.0,2.881,31.0207,0.6612,59.9724,28.3957,5.996,5.9862,wgn,43
220.0,2.8899,31.2434,0.6539,59.0014,28.4647,5.9677,5.9812,wgn,44
225.0,2.8814,31.2563,0.6493,58.9128,28.562,6.011,5.9851,wgn,45
230.0,2.8873,31.4562,0.6586,60.2355,28.4058,6.0366,5.9863,wgn,46
235.0,2.8875,31.0163,0.6501,57.7904,28.3694,5.9259,5.9864,wgn,47
240.0,2.9007,31.2789,0.6627,58.8153,28.2626,6.1814,5.9792,wgn,48
245.0,2.9156,31.2984,0.6396,59.1482,28.3617,5.8658,5.9745,wgn,49
250.0,2.9001,31.1616,0.6529,59.1916,28.3547,5.8593,5.9779,wgn,50
255.0,2.8999,31.4709,0.649,58.2244,28.2658,5.8111,5.9776,wgn,51
260.0,2.8885,31.2248,0.6505,58.0136,28.2636,6.1466,5.9722,wgn,52
265.0,2.8924,31.2371,0.6594,58.9833,28.3166,6.0688,5.9736,wgn,53
270.0,2.8994,31.3043,0.6459,58.5009,27.9804,5.882,5.969,wgn,54
275.0,2.9112,31.6076,0.6452,59.215,28.3863,6.1062,5.9549,wgn,55
280.0,2.9007,31.395,0.6548,59.2009,27.9189,5.8724,5.9524,wgn,56
285.0,2.8961,31.688,0.6437,59.6294,28.1403,5.9049,5.957,wgn,57
290.0,2.8998,31.6234,0.6675,58.6827,28.1129,6.058,5.9528,wgn,58
295.0,2.9035,31.4626,0.6548,59.6144,28.2145,5.7792,5.9526,wgn,59
300.0,2.9143,31.4805,0.6571,59.75,28.1154,6.0703,5.9488,wgn,60
305.0,2.8906,31.6181,0.6458,59.7251,28.0387,6.1285,5.9428,wgn,61
310.0,2.9054,31.3563,0.6566,59.5119,28.1667,6.1245,5.9287,wgn,62
315.0,2.9138,31.4263,0.6454,60.0943,28.0894,5.6798,5.9314,wgn,63
320.0,2.8977,31.5774,0.6407,58.0703,27.896,5.8137,5.9426,wgn,64
325.0,2.8915,31.68,0.6547,59.497,27.9364,5.8808,5.9477,wgn,65
330.0,2.9168,31.5943,0.6396,59.3905,28.204,5.7291,5.9405,wgn,66
335.0,2.9068,31.5824,0.6761,60.5622,28.2583,5.8812,5.9477,wgn,67
340.0,2.9043,31.3199,0.6644,60.0165,28.1273,5.8436,5.9427,wgn,68
345.0,2.925,31.746,0.6389,58.8328,28.1517,6.0017,5.9387,wgn,69
350.0,2.9025,31.5111,0.6655,59.2099,28.2987,5.8748,5.9352,wgn,70
355.0,2.9082,31.5651,0.6607,60.3466,28.247,5.8175,5.941,wgn,71
360.0,2.9208,31.7387,0.6545,57.8853,28.0513,5.7781,5.9317,wgn,72
365.0,2.9055,31.4085,0.6632,59.3009,28.0391,5.8163,5.9301,wgn,73
370.0,2.9128,31.5645,0.6508,58.2026,28.1397,6.0778,5.9296,wgn,74
375.0,2.9251,31.7539,0.6547,58.8327,28.288,5.7558,5.9173,wgn,75
380.0,2.9109,31.5539,0.6819,59.2187,28.2202,6.1561,5.9224,wgn,76
385.0,2.8945,31.641,0.6558,60.5514,28.0866,5.9015,5.9295,wgn,77
390.0,2.9012,31.6825,0.6647,60.6527,28.1195,5.8685,5.9362,wgn,78
395.0,2.8912,31.4478,0.64,58.3967,28.3948,5.9858,5.9441,wgn,79
400.0,2.9138,31.626,0.6502,59.5948,28.4092,5.9298,5.9316,wgn,80
405.0,2.9256,31.7399,0.6448,59.3488,28.4441,6.223,5.9308,wgn,81
410.0,2.9151,31.6157,0.6587,58.8806,28.2675,6.0671,5.9259,wgn,82
415.0,2.9231,31.3443,0.6426,58.732,28.449,5.7183,5.9231,wgn,83
420.0,2.9169,31.671,0.65,58.8751,28.5817,5.9804,5.919,wgn,84
425.0,2.9293,31.6597,0.6375,59.5678,28.2948,6.0463,5.9122,wgn,85
430.0,2.9274,31.6425,0.653,58.6603,28.3473,5.7106,5.9078,wgn,86
435.0,2.9391,31.6977,0.6598,58.9319,28.3955,5.961,5.9052,wgn,87
440.0,2.9355,31.854,0.6629,60.0452,28.4808,5.8281,5.898,wgn,88
445.0,2.9274,32.0091,0.6643,60.1106,28.383,5.9629,5.8934,wgn,89
450.0,2.9334,31.8743,0.6446,60.637,28.7686,5.764,5.8868,wgn,90
455.0,2.9319,31.9451,0.6604,59.7355,28.7188,6.1459,5.8862,wgn,91
460.0,2.9184,31.7766,0.6678,61.4712,28.6689,5.7953,5.8813,wgn,92
465.0,2.9549,31.6174,0.652,60.1104,28.7383,5.6202,5.8759,wgn,93
470.0,2.9378,31.6718,0.6524,61.3192,28.7872,6.102,5.8723,wgn,94
475.0,2.946,31.6893,0.6516,60.428,28.7153,5.9038,5.8796,wgn,95
480.0,2.9422,32.002,0.6527,60.7842,29.0112,6.0007,5.8653,wgn,96
485.0,2.9305,32.3137,0.667,60.5351,28.8635,6.0061,5.8592,wgn,97
490.0,2.9448,32.0627,0.6563,61.4052,29.1242,5.7848,5.853,wgn,98
495.0,2.9397,31.7663,0.6481,60.6487,28.8587,5.8542,5.8474,wgn,99
500.0,2.9455,32.136,0.6603,60.9156,28.8968,5.8751,5.8424,wgn,100
505.0,2.9324,32.3037,0.6721,60.2148,28.9418,5.7412,5.8408,wgn,101
510.0,2.9402,32.1413,0.6612,60.8929,29.2499,5.5798,5.8478,wgn,102
515.0,2.9124,32.0947,0.6518,62.3077,29.176,5.8068,5.8508,wgn,103
520.0,2.9552,32.026,0.6581,61.5583,29.0352,5.8805,5.8473,wgn,104
525.0,2.9454,32.4911,0.6652,61.2925,28.8265,5.6419,5.8435,wgn,105
530.0,2.9419,32.206,0.652,60.8817,29.4326,5.836,5.8514,wgn,106
535.0,2.9359,31.7739,0.6578,60.9159,29.5338,5.9098,5.8471,wgn,107
540.0,2.9561,32.4242,0.6743,61.2445,29.1855,5.7092,5.8384,wgn,108
545.0,2.9476,32.2381,0.668,62.2539,29.3567,5.8419,5.8373,wgn,109
550.0,2.9338,32.0839,0.6528,60.2906,29.219,5.8756,5.8313,wgn,110
555.0,2.9549,32.1604,0.6425,61.0944,28.9286,5.8514,5.8292,wgn,111
560.0,2.9419,31.8481,0.6631,60.5696,29.1069,5.8501,5.8352,wgn,112
565.0,2.9626,32.2307,0.6782,61.8364,29.1983,5.8433,5.8324,wgn,113
570.0,2.9681,32.4771,0.6573,62.5893,29.212,5.5728,5.8291,wgn,114
575.0,2.9299,32.2869,0.6539,60.5678,29.2582,6.1195,5.8268,wgn,115
580.0,2.9614,32.1315,0.6615,60.9841,29.3007,6.0558,5.8273,wgn,116
585.0,2.9693,32.3036,0.6378,59.7929,29.3192,5.7336,5.8256,wgn,117
590.0,2.9442,32.1715,0.6444,61.6948,29.0474,6.2421,5.8207,wgn,118
595.0,2.9412,31.8855,0.6976,62.5774,29.3273,5.7184,5.8249,wgn,119
600.0,2.9337,32.1689,0.6576,61.8997,29.0887,5.8549,5.833,wgn,120
605.0,2.9533,32.0911,0.6458,61.1337,28.9259,5.8329,5.8364,wgn,121
610.0,2.9576,32.0482,0.6878,61.3689,29.1789,5.7249,5.8352,wgn,122
615.0,2.9413,32.2296,0.6566,60.6592,29.1853,5.8753,5.8402,wgn,123
620.0,2.9306,31.8525,0.6529,61.1909,28.8883,5.6588,5.8409,wgn,124
625.0,2.9577,32.1757,0.673,59.6034,29.1849,5.7584,5.8441,wgn,125
630.0,2.9509,32.2981,0.6727,61.1626,28.8492,5.6285,5.8443,wgn,126
635.0,2.9406,32.3575,0.645,61.5691,28.9121,5.9064,5.8447,wgn,127
640.0,2.9396,32.1401,0.6714,60.1001,28.8959,5.8292,5.8479,wgn,128
645.0,2.9315,31.9318,0.6648,60.244,29.0682,5.5867,5.849,wgn,129
650.0,2.9292,31.9974,0.6398,59.5716,28.7249,5.745,5.8547,wgn,130
655.0,2.9373,32.1431,0.6581,59.7564,28.6739,6.123,5.8627,wgn,131
660.0,2.9341,31.768,0.6539,61.0255,28.7726,5.618,5.8601,wgn,132
665.0,2.9361,32.2712,0.6739,61.1636,28.8226,5.9316,5.8644,wgn,133
670.0,2.9304,32.1697,0.6546,61.2158,28.6871,5.6683,5.8645,wgn,134
675.0,2.942,31.8904,0.6687,61.6648,28.5589,5.9635,5.8634,wgn,135
680.0,2.9489,32.316,0.638,60.2114,28.4829,5.8555,5.8562,wgn,136
685.0,2.925,31.8321,0.6679,59.6695,28.4351,5.7052,5.8632,wgn,137
690.0,2.9304,32.0266,0.6232,61.2142,28.4634,5.8303,5.8598,wgn,138
695.0,2.9353,31.9092,0.6693,59.9693,28.5359,5.7473,5.8539,wgn,139
700.0,2.9317,32.2321,0.6707,61.9968,28.4107,5.9318,5.857,wgn,140
705.0,2.9376,31.8299,0.6627,61.8421,28.0188,5.9323,5.8519,wgn,141
710.0,2.9684,32.0396,0.6688,60.8139,28.356,5.7226,5.8542,wgn,142
